日期,数据集,实际均价,正式模型预测均价,实验模型预测均价,正式模型MAPE,实验模型MAPE
2025-01-01,训练集,0.92652153,0.76619722,0.76619722,0.17967086,0.17967086
2025-01-02,训练集,0.92660278,1.02271611,1.02271611,0.12212143,0.12212143
2025-01-03,训练集,0.73862361,0.92661291,0.92661291,0.28810187,0.28810187
2025-01-04,验证集,0.73031667,0.74485762,0.74485762,0.08458287,0.08458287
2025-01-05,训练集,0.92523194,0.85762195,0.85762195,0.11391238,0.11391238
2025-01-06,测试集,0.92899236,0.91907920,0.91907920,0.06050030,0.06050030
2025-01-07,训练集,0.92342222,0.87851320,0.87851320,0.09922347,0.09922347
2025-01-08,训练集,0.91737361,0.92603353,0.92603353,0.06717526,0.06717526
2025-01-09,训练集,0.92059236,0.91398060,0.91398060,0.06142351,0.06142351
2025-01-10,验证集,0.72930417,0.88234962,0.88234962,0.24317943,0.24317943
2025-01-11,训练集,0.73421250,0.90178367,0.90178367,0.28519597,0.28519597
2025-01-12,测试集,0.92542153,0.77811653,0.77811653,0.15994230,0.15994230
2025-01-13,训练集,0.91492014,0.86842193,0.86842193,0.10673977,0.10673977
2025-01-14,训练集,0.91690139,0.91354685,0.91354685,0.05789155,0.05789155
2025-01-15,训练集,0.92310278,0.91140198,0.91140198,0.05082743,0.05082743
2025-01-16,验证集,0.91505139,0.91586703,0.91586703,0.05165264,0.05165264
2025-01-17,训练集,0.72453611,0.87700198,0.87700198,0.25492872,0.25492872
2025-01-18,测试集,0.72237014,0.75165182,0.75165182,0.07454986,0.07454986
2025-01-19,训练集,0.91766875,0.86886129,0.86886129,0.10265587,0.10265587
2025-01-20,训练集,0.91349514,0.90830776,0.90830776,0.05588858,0.05588858
2025-01-21,训练集,0.89557431,0.90775268,0.90775268,0.05914810,0.05914810
2025-01-22,验证集,0.91911667,0.89555963,0.89555963,0.06157711,0.06157711
2025-01-23,训练集,0.92200417,0.88619349,0.88619349,0.10131713,0.10131713
2025-01-24,测试集,0.70988056,0.88184783,0.88184783,0.28205495,0.28205495
2025-01-25,训练集,0.70497153,0.87444933,0.87444933,0.30357327,0.30357327
2025-01-26,训练集,0.91621736,0.76447346,0.76447346,0.16648807,0.16648807
2025-01-27,训练集,0.89843333,0.89827080,0.89827080,0.06678029,0.06678029
2025-01-28,验证集,0.90573403,0.88968784,0.88968784,0.06610012,0.06610012
2025-01-29,训练集,0.88981597,0.87822564,0.87822564,0.09872253,0.09872253
2025-01-30,测试集,0.90012986,0.88836589,0.88836589,0.07348695,0.07348695
2025-01-31,训练集,0.71139514,0.85845475,0.85845475,0.25913724,0.25913724
2025-02-01,训练集,0.65149306,0.74074512,0.74074512,0.16114752,0.16114752
2025-02-02,训练集,0.83638819,0.72561247,0.72561247,0.13680096,0.13680096
2025-02-03,验证集,0.84479028,0.83716893,0.83716893,0.05459062,0.05459062
2025-02-04,训练集,0.84918958,0.83277713,0.83277713,0.09614913,0.09614913
2025-02-05,测试集,0.84825417,0.84771593,0.84771593,0.05443285,0.05443285
2025-02-06,训练集,0.84396458,0.83396821,0.83396821,0.08916276,0.08916276
2025-02-07,训练集,0.64403889,0.81170628,0.81170628,0.30207485,0.30207485
2025-02-08,训练集,0.64235139,0.68837489,0.68837489,0.11319179,0.11319179
2025-02-09,验证集,0.84138403,0.72329488,0.72329488,0.14720858,0.14720858
2025-02-10,训练集,0.81806389,0.79461944,0.79461944,0.09105821,0.09105821
2025-02-11,测试集,0.82849236,0.81086235,0.81086235,0.05648243,0.05648243
2025-02-12,训练集,0.82642431,0.79307290,0.79307290,0.08893958,0.08893958
2025-02-13,训练集,0.81479097,0.81748264,0.81748264,0.07091063,0.07091063
2025-02-14,训练集,0.63110000,0.77422948,0.77422948,0.25150668,0.25150668
2025-02-15,验证集,0.63784722,0.67195318,0.67195318,0.09050187,0.09050187
2025-02-16,训练集,0.83032222,0.78241507,0.78241507,0.09763309,0.09763309
2025-02-17,测试集,0.81735278,0.81441774,0.81441774,0.06021324,0.06021324
2025-02-18,训练集,0.81452153,0.78388571,0.78388571,0.08360885,0.08360885
2025-02-19,训练集,0.81642986,0.80579386,0.80579386,0.06996240,0.06996240
2025-02-20,训练集,0.81680694,0.80828468,0.80828468,0.06585767,0.06585767
