数据集,策略,验证集选定策略,开始日期,结束日期,天数,初始计划购电量(kWh),最终购电量(kWh),增购量(kWh),退购量(kWh),紧急购电量(kWh),紧急购电占比,初始计划购电费(元),调整后购电费(元),紧急购电费(元),总购电费(元)
训练集,S0_仅0点,否,2025-01-01,2025-12-31,244,17031917.36207025,17031917.36207025,0.0,0.0,355345.0039158069,0.020437087589530646,10485539.165279696,10485539.165279696,1395715.1102810304,11881254.275560725
训练集,S1_增加6点,否,2025-01-01,2025-12-31,244,17036846.506592143,16690352.927971225,297684.795588062,644178.3742089629,276496.7540718572,0.01629629302159071,10486902.300315108,10562481.75687121,1079900.1518207444,11642381.908691954
训练集,S2_增加12点,是,2025-01-01,2025-12-31,244,17037983.011470236,16479423.649421941,296600.68817526015,855160.0502235413,220717.2600575348,0.013216490881957131,10487469.934190396,10504354.712517725,851570.4881921804,11355925.200709905
训练集,S3_完整MPC,否,2025-01-01,2025-12-31,244,17030568.71053549,16528778.36092048,426158.9967486734,927949.3463636815,229345.27666742934,0.013685617890598181,10486163.438907806,10704468.331692144,897854.7045894641,11602323.036281608
验证集,S0_仅0点,否,2025-01-04,2025-12-30,61,4272059.794071918,4272059.794071918,0.0,0.0,47389.425691089426,0.010971173239927452,2626644.933410786,2626644.933410786,187806.0796350591,2814451.013045845
验证集,S1_增加6点,否,2025-01-04,2025-12-30,61,4273775.759309535,4189319.5163462046,65345.865372270775,149802.1083356007,35803.810638861134,0.008474027352098564,2627118.717463621,2640900.8989199395,138620.47355961797,2779521.3724795575
验证集,S2_增加12点,是,2025-01-04,2025-12-30,61,4273938.565130681,4104185.0841000206,48232.185252011244,217985.66628267235,34942.00140989947,0.008441876919465205,2627227.101634767,2600205.6445504962,135454.13731962137,2735659.7818701174
验证集,S3_完整MPC,否,2025-01-04,2025-12-30,61,4271329.387173831,4109747.5366783594,76391.1963984969,237973.0468939687,40509.45911557491,0.009760711000940206,2626576.8184892023,2640431.3710152907,162685.8517989982,2803117.222814289
测试集,S0_仅0点,否,2025-01-06,2025-12-26,60,4129076.1608387115,4129076.1608387115,0.0,0.0,76027.35671346856,0.018079782434874424,2538690.166657236,2538690.166657236,297367.3919928359,2836057.5586500717
测试集,S1_增加6点,否,2025-01-06,2025-12-26,60,4130440.2050333456,4074877.2137366054,82116.22305156472,137679.21434830467,50066.70396701646,0.012137547798441065,2539035.3654786064,2575279.839246688,192939.6399049162,2768219.479151604
测试集,S2_增加12点,是,2025-01-06,2025-12-26,60,4130290.808126017,4001902.4315305287,71354.93784027196,199743.3144357593,42303.58147314655,0.010460293401751615,2538979.764487753,2545653.3276906167,162588.08050343132,2708241.408194048
测试集,S3_完整MPC,否,2025-01-06,2025-12-26,60,4127354.2841758165,4006143.333835388,97116.06142519375,218327.01176562114,49644.88911018041,0.012240503295836579,2538225.5274189985,2583474.3253483633,199221.86279449365,2782696.188142857
