日期,0点计划购电量(kWh),最终调整购电量(kWh),增加购电量(kWh),减少购电量(kWh),0点计划购电费(元),调整后购电结算费(元),调整相关费用变化(元),紧急购电量(kWh),紧急购电费(元),总购电费(元),0:00储电量(kWh),24:00储电量(kWh)
2025-01-01,78198.733939,90133.177214,11934.443275,0.000000,47949.925999,62453.552431,14503.626432,8781.363574,33376.329713,95829.882144,6000.000000,5349.426754
2025-01-02,84792.290109,91269.346207,6847.745305,370.689208,52609.004707,61443.619026,8834.614319,8433.239092,32069.077275,93512.696301,5349.426754,4771.611381
2025-01-03,84180.122890,69304.613921,0.000000,14875.508969,52416.240237,46354.874790,-6061.365448,30.410318,69.567897,46424.442686,4771.611381,5455.720254
2025-01-04,77803.837269,66244.368058,0.000000,11559.469210,47407.571962,42752.868372,-4654.703589,103.385523,302.349458,43055.217830,5455.720254,6002.469839
2025-01-05,73355.658749,83727.998392,10372.339643,0.000000,43773.769656,56857.561996,13083.792341,12637.491366,49977.154765,106834.716761,6002.469839,5251.031920
2025-01-06,77573.582322,85998.668913,8433.900076,8.813484,46886.020329,57632.640784,10746.620455,10233.893153,40639.779210,98272.419993,5251.031920,4616.800313
2025-01-07,78619.840162,89292.381245,10672.541083,0.000000,47634.849152,60224.257162,12589.408010,8844.679913,36317.314888,96541.572050,4616.800313,4100.562170
2025-01-08,112792.375207,99112.780015,0.000000,13679.595192,73829.363034,68603.354628,-5226.008406,491.299433,2256.016830,70859.371458,4100.562170,4116.151693
2025-01-09,107014.338670,101104.361164,0.000000,5909.977506,69668.764736,67306.256384,-2362.508352,291.066637,1132.444260,68438.700644,4116.151693,4099.549393
2025-01-10,106641.728911,75871.961582,0.000000,30769.767329,69246.407813,56547.226081,-12699.181732,230.165965,539.286462,57086.512543,4099.549393,5228.286527
2025-01-11,95594.966230,73397.522332,0.000000,22197.443898,60662.251829,51614.086076,-9048.165753,164.150294,359.472887,51973.558963,5228.286527,6026.778327
2025-01-12,99829.902718,98711.128328,1402.257316,2521.031706,63629.879244,64742.280265,1112.401021,1170.457419,5260.506069,70002.786334,6026.778327,5837.464577
2025-01-13,101878.943950,97746.879682,198.622036,4330.686304,65639.370523,64217.445346,-1421.925177,507.728232,2051.467014,66268.912360,5837.464577,5650.509533
2025-01-14,101561.946270,97494.400326,10.426035,4077.971979,65517.881824,63916.498494,-1601.383329,495.062466,1967.179297,65883.677791,5650.509533,5552.242542
2025-01-15,99888.186901,99506.661086,535.781194,917.307010,64443.852668,64741.902151,298.049483,353.584020,1858.914147,66600.816298,5552.242542,5493.574244
2025-01-16,100825.644916,97700.368214,41.675245,3166.951946,65217.548174,63947.025010,-1270.523164,621.178743,2749.841099,66696.866109,5493.574244,5546.984353
2025-01-17,96545.987424,73892.952452,0.000000,22653.034972,61484.875379,52083.127935,-9401.747444,100.035820,221.411681,52304.539616,5546.984353,6437.102904
2025-01-18,96184.840563,71808.846466,0.000000,24375.994097,60794.808957,51094.309874,-9700.499084,150.839403,338.694125,51433.003999,6437.102904,7067.253741
2025-01-19,93532.006825,95959.571051,2681.986491,254.422265,59295.224265,62283.744910,2988.520645,566.228215,2708.153238,64991.898148,7067.253741,6861.837796
2025-01-20,96115.317252,94672.803906,92.831923,1535.345269,61526.549278,61081.302284,-445.246994,846.110096,3359.352761,64440.655045,6861.837796,6723.574864
2025-01-21,97965.295952,92903.607313,0.000000,5061.688639,62725.398560,60758.196284,-1967.202276,313.600362,1206.240041,61964.436325,6723.574864,6701.193857
2025-01-22,102385.761123,98170.660444,11.285187,4226.385866,65913.565218,64265.319440,-1648.245778,472.082388,2226.286555,66491.605995,6701.193857,6665.071124
2025-01-23,100206.511443,98942.442149,894.541709,2158.611004,64367.387632,64725.279374,357.891742,140.280827,464.817568,65190.096942,6665.071124,6603.738219
2025-01-24,90324.945055,69557.259747,0.000000,20767.685308,56851.863685,48499.000867,-8352.862818,19.613981,43.768598,48542.769465,6603.738219,7248.268658
2025-01-25,86040.428739,68356.869828,0.000000,17683.558911,53646.693440,46711.113830,-6935.579610,66.161989,145.219577,46856.333407,7248.268658,7725.586903
2025-01-26,100717.099193,94973.080502,104.180990,5848.199681,64088.392168,62195.124220,-1893.267948,577.802564,2646.677759,64841.801979,7725.586903,7588.809778
2025-01-27,91528.046382,90575.042335,111.881708,1064.885756,57906.292217,57594.152040,-312.140177,971.627652,4075.069788,61669.221828,7588.809778,7529.640040
2025-01-28,99183.275235,95109.347879,147.190204,4221.117560,62933.033854,61784.176241,-1148.857612,398.165583,1574.253403,63358.429644,7529.640040,7392.022107
2025-01-29,92845.593190,91233.774413,138.746151,1750.564927,58461.844760,58013.442108,-448.402653,489.254163,1977.815840,59991.257948,7392.022107,7297.008845
2025-01-30,93516.268527,93366.350458,643.564850,793.482919,59658.475146,60067.126928,408.651782,211.964142,1060.926502,61128.053431,7297.008845,7237.110708
2025-01-31,87792.113498,68217.367805,0.000000,19574.745693,55004.276595,47180.872447,-7823.404148,126.711065,283.177855,47464.050302,7237.110708,7776.630735
2025-02-01,86624.770405,62278.303946,0.000000,24346.466460,53811.569784,44294.096695,-9517.473088,9.217089,20.328290,44314.424985,7776.630735,8312.196032
2025-02-02,91439.025024,86745.422784,0.000000,4693.602240,57460.236268,55761.350224,-1698.886044,407.794749,1937.740509,57699.090733,8312.196032,8200.241141
2025-02-03,94096.758640,87003.172336,0.000000,7093.586304,59344.358449,56698.562555,-2645.795894,1029.981869,4520.355919,61218.918474,8200.241141,8108.001507
2025-02-04,96639.191837,90024.070308,0.000000,6615.121529,61611.871995,59059.560076,-2552.311920,432.668817,1806.379364,60865.939440,8108.001507,8043.407916
2025-02-05,91429.181576,89543.835692,247.576885,2132.922769,57842.698218,57266.435362,-576.262857,150.041238,672.074217,57938.509578,8043.407916,8020.410060
2025-02-06,97971.119192,89542.974077,0.000000,8428.145115,62467.912644,59285.816614,-3182.096030,329.847221,1454.894276,60740.710890,8020.410060,7944.608126
2025-02-07,86748.864691,62985.104635,0.000000,23763.760055,54058.674476,44958.528982,-9100.145494,11.640734,25.795865,44984.324847,7944.608126,8366.867972
2025-02-08,75526.513434,58763.438450,0.000000,16763.074984,45734.968415,39166.821050,-6568.147365,120.225808,291.363142,39458.184191,8366.867972,8759.834565
2025-02-09,88247.305510,87847.205575,949.654052,1349.753987,55335.784043,56178.241960,842.457917,319.514143,1203.120066,57381.362026,8759.834565,8548.447937
2025-02-10,85148.401133,81001.307143,76.794551,4223.888541,53065.890470,51699.449549,-1366.440921,795.385567,2903.729253,54603.178802,8548.447937,8439.494588
2025-02-11,86939.789036,81035.663511,41.560950,5945.686474,54646.502818,52421.173976,-2225.328842,871.003009,4105.378479,56526.552455,8439.494588,8344.478527
2025-02-12,87873.210767,81162.355468,0.000000,6710.855300,55274.737763,52789.435707,-2485.302056,840.506010,3836.126452,56625.562159,8344.478527,8290.346991
2025-02-13,82973.851603,79614.307817,0.000000,3359.543786,51510.755565,50324.224002,-1186.531563,349.919667,1372.989323,51697.213325,8290.346991,8241.023740
2025-02-14,77838.292338,59194.469715,0.000000,18643.822622,47699.503374,40431.972406,-7267.530968,37.726034,83.056898,40515.029304,8241.023740,8632.601990
2025-02-15,76351.637417,55976.654576,0.000000,20374.982841,46092.289933,38541.001875,-7551.288058,183.637758,414.593291,38955.595166,8632.601990,8975.633741
2025-02-16,83954.006217,78080.546453,229.677058,6103.136821,52080.783284,50288.622894,-1792.160389,2604.921533,10414.758307,60703.381202,8975.633741,8837.009112
2025-02-17,84270.574371,76653.178996,235.435492,7852.830866,51944.680336,49730.323247,-2214.357088,1008.284142,4031.988531,53762.311778,8837.009112,8684.739504
2025-02-18,75657.929019,79805.441532,4147.512513,0.000000,46722.170232,50659.902960,3937.732728,438.936171,1856.698860,52516.601820,8684.739504,8533.198703
