日期,计划购电量(kWh),计划购电费(元),紧急购电量(kWh),紧急购电费(元),总购电费(元),计划弃光量(kWh),真实弃光量(kWh),安全裕度合计(kWh),0:00储电量(kWh),24:00储电量(kWh),负荷预测MAE(kW),光伏预测MAE(kW)
2025-01-01,62282.849736,36246.832109,36779.034806,147682.190164,183929.022273,0.000000,272.098865,0.000000,6000.000000,8550.000000,703.111201,843.566379
2025-01-02,63194.149695,37158.055286,34049.225319,136949.752385,174107.807671,0.000000,234.021594,0.000000,8550.000000,8550.000000,681.519232,749.833422
2025-01-03,67020.273737,39690.892244,532.026571,2096.467685,41787.359929,0.000000,17867.992200,0.000000,8550.000000,8550.000000,1282.785400,560.453555
2025-01-04,68192.242593,40455.267170,240.486739,942.242471,41397.509641,0.000000,19449.253388,0.000000,8550.000000,8550.000000,1213.678575,411.822737
2025-01-05,70965.973433,42390.269080,24651.693311,99795.086925,142185.356006,0.000000,288.478115,0.000000,8550.000000,8550.000000,723.548259,319.159006
2025-01-06,74914.166927,45278.018384,20459.074080,82656.137460,127934.155844,0.000000,303.430879,0.000000,8550.000000,8550.000000,634.002333,233.049458
2025-01-07,77902.656662,47498.103307,19594.325945,77570.448286,125068.551593,0.000000,435.009434,0.000000,8550.000000,8550.000000,638.266380,198.664242
2025-01-08,83572.211254,51760.475135,11227.282661,46168.103735,97928.578871,0.000000,705.766611,0.000000,8550.000000,8550.000000,563.124508,92.028004
2025-01-09,83941.242564,52078.849946,12397.768678,49440.849358,101519.699304,0.000000,653.223385,0.000000,8550.000000,8550.000000,560.269254,65.960063
2025-01-10,113756.081037,75191.576230,0.000000,0.000000,75191.576230,0.000000,63312.197179,32495.844773,8550.000000,8550.000000,1283.924162,65.295440
2025-01-11,116492.495544,77415.954498,0.000000,0.000000,77415.954498,0.000000,66640.705822,32495.844773,8550.000000,8550.000000,1388.258503,63.229914
2025-01-12,112328.667400,74105.199711,267.723300,963.710912,75068.910623,0.000000,16806.497232,30646.608875,8550.000000,8550.000000,591.480795,56.874692
2025-01-13,111585.523991,73494.398918,454.362332,1670.420621,75164.819539,0.000000,18849.632966,30646.608875,8550.000000,8550.000000,644.052367,112.469773
2025-01-14,111230.977796,73200.803048,202.749082,640.122338,73840.925387,0.000000,17257.419421,29001.428045,8550.000000,8550.000000,589.855143,71.654226
2025-01-15,109783.373162,72128.081741,140.056198,819.092543,72947.174285,0.000000,14976.419760,27331.047688,8550.000000,8550.000000,569.738147,55.423906
2025-01-16,108631.107868,71238.110377,126.601134,464.145151,71702.255529,0.000000,14806.890886,25562.074174,8550.000000,8550.000000,548.121450,90.443037
2025-01-17,106641.243244,69612.268580,0.000000,0.000000,69612.268580,0.000000,59075.463110,25562.074174,8550.000000,8550.000000,1334.140948,79.491195
2025-01-18,102507.807112,66236.370875,38.703632,82.748364,66319.119239,0.000000,54427.335061,24374.935778,8550.000000,8550.000000,1209.449162,88.613403
2025-01-19,104682.173368,68016.831807,195.411685,1002.561162,69019.392968,0.000000,11317.778920,24374.935778,8550.000000,8550.000000,600.657201,63.706016
2025-01-20,104012.018606,67413.066611,162.676545,684.828066,68097.894677,0.000000,11230.951935,23294.043073,8550.000000,8550.000000,590.441271,77.799416
2025-01-21,110480.033552,72239.826481,13.114566,39.245942,72279.072422,0.000000,22140.576768,22257.304990,8550.000000,8550.000000,269.904263,210.526199
2025-01-22,110056.138182,71960.987837,159.555085,811.328005,72772.315841,0.000000,16440.262234,21109.787997,8550.000000,8550.000000,258.091854,70.756036
2025-01-23,109287.863445,71310.732417,33.398757,189.750708,71500.483125,0.000000,14878.669936,21109.787997,8550.000000,8550.000000,285.508202,68.190395
2025-01-24,94117.369518,59031.709803,0.000000,0.000000,59031.709803,0.000000,49538.557457,19960.964248,8550.000000,8550.000000,1121.596594,112.357884
2025-01-25,99059.802609,62973.735153,0.000000,0.000000,62973.735153,0.000000,55801.172468,19960.964248,8550.000000,8550.000000,1311.070047,182.804518
2025-01-26,103622.720885,66741.045729,219.300728,1182.416184,67923.461913,0.000000,11266.364913,19220.436794,8550.000000,8550.000000,383.138356,95.351446
2025-01-27,101154.930451,64813.984228,399.919469,2005.291301,66819.275529,0.000000,12514.637664,18562.609352,8550.000000,8550.000000,404.260382,129.927316
2025-01-28,104590.233973,67682.057087,44.784434,252.731494,67934.788581,0.000000,12777.952374,17920.809547,8550.000000,8550.000000,296.965000,78.602896
2025-01-29,104801.765663,67809.935209,77.704655,400.656410,68210.591619,0.000000,18617.602602,17920.809547,8550.000000,8550.000000,261.268847,219.214947
2025-01-30,104537.374740,67650.023889,80.223627,505.270524,68155.294414,0.000000,15998.348918,17219.144200,8550.000000,8550.000000,271.528368,131.121431
2025-01-31,89542.500838,55590.554802,0.000000,0.000000,55590.554802,0.000000,46059.844455,17219.144200,8550.000000,8550.000000,1132.909832,90.222828
2025-02-01,83596.620600,50955.893299,8.352086,17.856759,50973.750059,0.000000,44588.522686,16488.613664,8550.000000,8550.000000,1101.413053,75.775854
2025-02-02,95960.505776,60826.229413,246.125265,1592.695891,62418.925305,0.000000,13079.330907,16211.583333,8550.000000,8550.000000,330.416020,142.339715
