日期,0点计划购电量(kWh),最终调整购电量(kWh),增加购电量(kWh),减少购电量(kWh),0点计划购电费(元),调整后购电结算费(元),调整相关费用变化(元),紧急购电量(kWh),紧急购电费(元),总购电费(元),0:00储电量(kWh),24:00储电量(kWh)
2025-01-01,77929.757445,90030.579299,12100.821854,0.000000,57679.805677,76359.130292,18679.324614,8781.363574,42092.523983,118451.654274,6000.000000,5544.145713
2025-01-02,84549.255117,91132.518576,6990.286115,407.022656,62277.361981,73204.258428,10926.896447,8433.239092,40601.897017,113806.155444,5544.145713,5136.130437
2025-01-03,84021.789557,68937.476972,0.000000,15084.312584,48169.146821,42487.118702,-5682.028119,30.410318,57.900869,42545.019571,5136.130437,5774.816056
2025-01-04,77645.503935,66114.958131,0.000000,11530.545805,42898.275957,38596.596836,-4301.679121,103.385523,317.421155,38914.017991,5774.816056,6343.536142
2025-01-05,73281.730343,83951.486512,10669.756169,0.000000,51783.762593,67825.784146,16042.021553,12637.491366,62616.321599,130442.105745,6343.536142,5816.668692
2025-01-06,77415.248989,86082.651083,8676.215579,8.813484,55998.048727,68902.808711,12904.759984,10233.893153,51904.094149,120806.902860,5816.668692,5380.626695
2025-01-07,78461.506829,89271.801321,10810.294493,0.000000,56348.352687,72672.996776,16324.644089,8844.679913,45071.817186,117744.813962,5380.626695,5022.648296
2025-01-08,112645.094955,98935.163663,0.000000,13709.931292,88942.332797,82187.327068,-6755.005729,491.299433,2592.311883,84779.638951,5022.648296,5004.658599
2025-01-09,106913.297695,101044.057049,0.000000,5869.240646,83413.374469,80355.214564,-3058.159906,291.066637,1323.558560,81678.773124,5004.658599,4952.353500
2025-01-10,106759.784285,75279.962072,0.000000,31479.822213,63491.636954,51338.756078,-12152.880876,230.165965,566.837950,51905.594027,4952.353500,5791.920850
2025-01-11,95539.890223,73192.800694,0.000000,22347.089528,56174.260981,47476.789402,-8697.471579,164.150294,374.687729,47851.477131,5791.920850,6538.669906
2025-01-12,99895.716129,98620.007997,1474.004390,2749.712522,76563.507116,78148.350109,1584.842993,1170.457419,6135.158143,84283.508252,6538.669906,6346.015985
2025-01-13,101946.258295,97773.037009,322.345373,4495.566659,78441.733694,76622.281608,-1819.452086,507.728232,2289.023974,78911.305582,6346.015985,6268.100254
2025-01-14,101530.279604,97584.883757,116.019493,4061.415341,77729.210419,75727.653481,-2001.556937,495.062466,2416.810088,78144.463570,6268.100254,6254.251111
2025-01-15,99777.426662,99402.224893,662.021617,1037.223386,76681.831409,77199.427446,517.596038,353.584020,2243.662041,79443.089487,6254.251111,6230.842635
2025-01-16,100721.585134,97503.136207,60.804060,3279.252987,76649.341955,75156.953594,-1492.388361,621.178743,3425.314765,78582.268359,6230.842635,6238.065629
2025-01-17,96452.781918,73412.088616,0.000000,23040.693302,55980.509620,47260.564453,-8719.945167,100.035820,234.385622,47494.950075,6238.065629,6951.906727
2025-01-18,96128.476155,71793.322246,0.000000,24335.153908,55469.084518,46628.412067,-8840.672450,150.839403,364.584180,46992.996247,6951.906727,7761.678103
2025-01-19,93430.355479,95913.546590,2767.427780,284.236669,70003.368600,73821.225427,3817.856827,566.228215,3279.699830,77100.925257,7761.678103,7576.288701
2025-01-20,96024.253314,94587.562078,121.546381,1558.237617,72231.682018,71642.460917,-589.221102,846.110096,4308.098510,75950.559427,7576.288701,7442.164658
2025-01-21,97880.456503,92753.412213,0.000000,5127.044289,72371.929072,69950.782375,-2421.146697,313.600362,1453.929369,71404.711744,7442.164658,7414.395942
2025-01-22,102310.909068,97996.401066,11.285187,4325.793188,77959.695129,75888.922882,-2070.772247,472.082388,2569.035777,78457.958660,7414.395942,7356.611135
2025-01-23,100174.844776,98895.964880,920.807918,2199.687814,76796.577413,77454.678972,658.101559,140.280827,636.088670,78090.767642,7356.611135,7322.409533
2025-01-24,90166.611722,69222.718439,0.000000,20943.893283,49999.052502,42474.459099,-7524.593404,19.613981,38.345332,42512.804431,7322.409533,7808.352795
2025-01-25,85891.364437,68131.402136,0.000000,17759.962301,47117.915659,40972.727165,-6145.188494,66.161989,118.102456,41090.829621,7808.352795,8225.250117
2025-01-26,100721.756846,94905.213479,129.789719,5946.333085,76399.940610,73801.083003,-2598.857607,577.802564,3087.004645,76888.087648,8225.250117,8111.430567
2025-01-27,91369.713049,90404.730358,114.430424,1079.413115,66744.967977,66366.358081,-378.609896,971.627652,4957.223482,71323.581563,8111.430567,8036.419167
2025-01-28,99024.941902,94975.453810,172.912903,4222.400995,73311.298354,71699.639613,-1611.658741,398.165583,1913.249763,73612.889375,8036.419167,7913.853030
2025-01-29,92687.259857,91123.498907,183.569320,1747.330270,66511.893189,66024.049477,-487.843712,489.254163,2398.781145,68422.830622,7913.853030,7859.376600
2025-01-30,93357.935194,93230.325516,654.653843,782.263521,68681.071737,69185.252170,504.180433,211.964142,1194.605256,70379.857426,7859.376600,7829.960269
2025-01-31,87633.780165,68031.019157,0.000000,19602.761008,48617.137231,41576.275428,-7040.861803,126.711065,275.042927,41851.318355,7829.960269,8347.710460
2025-02-01,86592.440705,62129.101160,0.000000,24463.339546,45620.576214,37271.769037,-8348.807177,9.217089,16.258945,37288.027982,8347.710460,8748.993249
2025-02-02,91157.715587,86447.291452,4.110689,4714.534824,63801.577846,61763.944636,-2037.633210,407.794749,2198.197385,63962.142021,8748.993249,8664.689431
2025-02-03,93693.396692,86716.382294,0.000000,6977.014397,67146.158767,63971.819660,-3174.339107,1029.981869,5342.411022,69314.230682,8664.689431,8583.355327
2025-02-04,96322.525171,89675.127016,0.000000,6647.398155,69718.167597,66718.407492,-2999.760104,432.668817,2125.889868,68844.297361,8583.355327,8517.384988
