日期,计划购电量(kWh),计划购电费(元),紧急购电量(kWh),紧急购电费(元),总购电费(元),0:00储电量(kWh),24:00储电量(kWh),电价预测MAE(元/kWh)
2025-01-01,58406.232949,39775.667879,36779.034806,193320.329006,233095.996885,6000.000000,4950.000000,0.17703126
2025-01-02,66105.840120,45025.273398,32568.704375,171362.909431,216388.182829,4950.000000,7200.000000,0.10503960
2025-01-03,68308.812166,37281.120892,324.453213,1393.242907,38674.363799,7200.000000,5700.000000,0.18910632
2025-01-04,71274.370540,37105.480090,189.208678,780.343267,37885.823357,5700.000000,8550.000000,0.05024097
2025-01-05,61696.857891,42931.635675,29463.821994,153269.837705,196201.473379,8550.000000,4800.000000,0.18124349
2025-01-06,74101.437579,51397.926525,23458.469582,124022.057102,175419.983627,4800.000000,7200.000000,0.05277914
2025-01-07,76416.938171,54774.981811,19823.422420,103094.293889,157869.275699,7200.000000,6450.000000,0.04633116
2025-01-08,116956.442538,95279.261861,51.155388,205.925695,95485.187556,6450.000000,4200.000000,0.04878800
2025-01-09,120518.610718,97537.091586,85.738621,176.341162,97713.432747,4200.000000,4800.000000,0.05225417
2025-01-10,115394.821113,69312.758116,0.000000,0.000000,69312.758116,4800.000000,7050.000000,0.15304729
2025-01-11,106372.191602,64738.902454,29.168117,68.428403,64807.330857,7050.000000,6450.000000,0.05918048
2025-01-12,109214.702660,86364.847456,706.476030,3343.926281,89708.773736,6450.000000,7200.000000,0.13079273
2025-01-13,108906.343363,86195.985622,508.611978,2280.549683,88476.535305,7200.000000,6450.000000,0.05171037
2025-01-14,110392.972388,86948.153767,188.782488,710.272393,87658.426159,6450.000000,6450.000000,0.05153353
2025-01-15,111411.729081,88443.917473,101.550432,640.476019,89084.393492,6450.000000,6450.000000,0.04929528
2025-01-16,110163.143663,87060.560408,64.875339,156.044732,87216.605141,6450.000000,4950.000000,0.04325778
2025-01-17,105770.849624,62684.142676,0.000000,0.000000,62684.142676,4950.000000,6450.000000,0.14975589
2025-01-18,101059.087113,58986.086736,52.344057,128.399972,59114.486709,6450.000000,7950.000000,0.05762970
2025-01-19,100937.965967,78572.588563,445.687939,2370.948357,80943.536920,7950.000000,6450.000000,0.12905744
2025-01-20,102199.114598,78754.990817,162.439387,785.939517,79540.930334,6450.000000,5700.000000,0.04878454
2025-01-21,105977.115178,78880.447606,58.217136,168.278380,79048.725986,5700.000000,7800.000000,0.04584415
2025-01-22,101223.097237,78502.819646,172.321523,774.129922,79276.949568,7800.000000,5700.000000,0.05601623
2025-01-23,104821.020285,81467.918775,27.358615,80.792535,81548.711310,5700.000000,6300.000000,0.04868119
2025-01-24,95794.793176,53987.504544,0.000000,0.000000,53987.504544,6300.000000,5700.000000,0.16643908
2025-01-25,94907.890121,52119.003473,0.000000,0.000000,52119.003473,5700.000000,7800.000000,0.06271675
2025-01-26,94786.035644,72043.328351,576.106294,2567.676561,74611.004912,7800.000000,6300.000000,0.14126455
2025-01-27,98301.060042,72811.937983,236.547711,866.534893,73678.472876,6300.000000,7200.000000,0.04719731
2025-01-28,96588.217508,72177.035651,163.599788,541.341105,72718.376755,7200.000000,6300.000000,0.05041635
2025-01-29,100028.247176,73173.851203,46.393946,134.586925,73308.438128,6300.000000,7200.000000,0.04801531
2025-01-30,95689.893025,71677.375103,63.618723,299.775568,71977.150671,7200.000000,4950.000000,0.05203053
2025-01-31,91720.112278,50524.360338,0.000000,0.000000,50524.360338,4950.000000,7050.000000,0.14640733
2025-02-01,88804.236281,46401.889786,0.000000,0.000000,46401.889786,7050.000000,9300.000000,0.10336714
2025-02-02,87051.475976,62215.978782,79.910836,490.200385,62706.179167,9300.000000,5550.000000,0.10251409
2025-02-03,90934.564098,64901.206493,153.234775,611.917899,65513.124392,5550.000000,5700.000000,0.03878272
2025-02-04,90486.935121,64818.826737,267.118122,1170.361652,65989.188389,5700.000000,5550.000000,0.03711201
2025-02-05,90149.694892,64775.010272,261.053877,1061.572783,65836.583055,5550.000000,4950.000000,0.03612044
2025-02-06,92447.668338,65916.882483,45.827654,129.918260,66046.800743,4950.000000,5700.000000,0.04031588
2025-02-07,85294.203135,43926.745925,0.000000,0.000000,43926.745925,5700.000000,7050.000000,0.16810030
2025-02-08,79598.273812,40613.413375,0.000000,0.000000,40613.413375,7050.000000,6450.000000,0.05339188
2025-02-09,83995.277729,58822.703046,1479.356640,6491.469015,65314.172061,6450.000000,5700.000000,0.12876384
2025-02-10,87811.026803,59219.034265,187.514359,699.854639,59918.888904,5700.000000,7800.000000,0.04393080
2025-02-11,83286.626022,58199.615560,83.628162,381.534437,58581.149997,7800.000000,5550.000000,0.03989225
2025-02-12,86917.621351,59413.233740,113.552307,476.567919,59889.801659,5550.000000,6450.000000,0.03982451
2025-02-13,82900.896156,57085.451533,157.779646,407.833168,57493.284701,6450.000000,3450.000000,0.04504112
2025-02-14,78723.110176,39554.219809,0.000000,0.000000,39554.219809,3450.000000,4200.000000,0.15121108
2025-02-15,77113.482680,38719.124483,0.000000,0.000000,38719.124483,4200.000000,6450.000000,0.04536220
2025-02-16,80395.735960,54212.273650,1814.746580,8204.379713,62416.653363,6450.000000,7050.000000,0.12521419
2025-02-17,76832.787246,52731.712041,500.619186,2112.636799,54844.348840,7050.000000,4200.000000,0.04083694
2025-02-18,82788.070277,54444.678277,190.141841,843.687152,55288.365429,4200.000000,6300.000000,0.03436413
2025-02-19,80134.464726,54050.209783,588.098018,2069.094550,56119.304332,6300.000000,5550.000000,0.04351212
2025-02-20,78573.942939,54036.688254,384.565116,1573.778454,55610.466709,5550.000000,3300.000000,0.04629802
2025-02-21,76058.843878,36972.944504,0.000000,0.000000,36972.944504,3300.000000,5700.000000,0.15723407
2025-02-22,69860.849129,34773.362353,37.229712,74.794491,34848.156844,5700.000000,5550.000000,0.04586225
2025-02-23,74865.874984,49685.227254,2051.263213,8857.336512,58542.563767,5550.000000,4950.000000,0.11314662
2025-02-24,76256.002428,50045.256809,749.672004,3464.130967,53509.387776,4950.000000,5700.000000,0.04079271
2025-02-25,75084.085429,49046.282038,456.155941,1669.347033,50715.629071,5700.000000,4800.000000,0.03755881
2025-02-26,76867.711295,50669.609290,782.057096,3075.607015,53745.216305,4800.000000,5700.000000,0.04357018
2025-02-27,75406.725564,48816.700219,292.394153,1482.454565,50299.154784,5700.000000,4950.000000,0.04324690
2025-02-28,70575.986899,33933.010751,0.000000,0.000000,33933.010751,4950.000000,6300.000000,0.14329727
2025-03-01,65250.483882,31377.099413,0.000000,0.000000,31377.099413,6300.000000,5700.000000,0.05368967
2025-03-02,69370.726338,45367.258859,6901.694655,30894.234993,76261.493852,5700.000000,4200.000000,0.13179902
2025-03-03,73149.521425,46994.480751,5385.024641,24766.455215,71760.935965,4200.000000,4950.000000,0.04230222
2025-03-04,74363.662102,48185.769658,1854.039397,7376.282409,55562.052067,4950.000000,5700.000000,0.03256952
2025-03-05,74706.572053,47795.231366,736.280808,3451.335764,51246.567130,5700.000000,5550.000000,0.04044895
2025-03-06,71829.815967,46940.092125,460.661412,2049.201119,48989.293244,5550.000000,2700.000000,0.03762924
2025-03-07,70098.313252,32751.094852,0.000000,0.000000,32751.094852,2700.000000,4950.000000,0.14504748
2025-03-08,67971.784115,31205.154406,0.000000,0.000000,31205.154406,4950.000000,7950.000000,0.06632786
2025-03-09,68324.279045,42701.988662,947.393159,4021.931402,46723.920064,7950.000000,6450.000000,0.11262964
2025-03-10,69272.177405,45007.788382,3652.360356,13872.130420,58879.918802,6450.000000,5700.000000,0.04535653
2025-03-11,70612.211235,45305.271951,788.670097,3279.840068,48585.112019,5700.000000,4950.000000,0.04465341
2025-03-12,72813.460600,45677.691458,303.299661,913.967803,46591.659261,4950.000000,5700.000000,0.04215858
2025-03-13,68944.438456,45142.130826,3107.267803,12817.299608,57959.430435,5700.000000,2700.000000,0.05518731
2025-03-14,68361.214402,31153.059618,0.000000,0.000000,31153.059618,2700.000000,4800.000000,0.16411738
2025-03-15,63681.441521,30144.783146,30.029654,72.821912,30217.605058,4800.000000,5700.000000,0.06119416
2025-03-16,67664.698272,42023.803638,2366.013314,10396.008701,52419.812339,5700.000000,5700.000000,0.11190472
2025-03-17,67978.462432,41691.903094,419.962484,1743.816263,43435.719356,5700.000000,4950.000000,0.04248968
2025-03-18,68706.922133,42371.183335,688.096552,3453.844783,45825.028118,4950.000000,4950.000000,0.04363824
2025-03-19,69313.035206,42799.360263,253.921510,1073.607236,43872.967499,4950.000000,4950.000000,0.04414108
2025-03-20,69560.049736,43666.327416,279.145891,1014.302837,44680.630253,4950.000000,4200.000000,0.04438664
2025-03-21,63240.807116,28301.081310,0.000000,0.000000,28301.081310,4200.000000,4800.000000,0.16502848
2025-03-22,62147.331933,27806.021270,32.292023,58.012620,27864.033890,4800.000000,7200.000000,0.04627015
2025-03-23,62099.575134,38185.586770,1770.716841,7535.964957,45721.551727,7200.000000,4950.000000,0.10906179
2025-03-24,65012.082974,39839.979093,933.924922,3508.251871,43348.230964,4950.000000,4950.000000,0.04660870
2025-03-25,63980.192179,39503.859870,2030.926071,8625.396223,48129.256093,4950.000000,3300.000000,0.03951760
2025-03-26,67730.732936,40819.721376,259.333910,897.739284,41717.460659,3300.000000,4200.000000,0.04171528
2025-03-27,67683.011388,41124.945132,476.437443,1603.534716,42728.479848,4200.000000,4200.000000,0.04675674
2025-03-28,59798.309979,27140.348076,0.000000,0.000000,27140.348076,4200.000000,4200.000000,0.14823379
2025-03-29,60563.378312,26764.078488,20.105451,43.015612,26807.094100,4200.000000,7200.000000,0.06843279
2025-03-30,60762.998747,36135.407471,1260.620906,4985.788462,41121.195932,7200.000000,6450.000000,0.11692253
2025-03-31,61100.881972,37087.701390,2182.316798,9112.158658,46199.860048,6450.000000,5700.000000,0.04766738
2025-04-01,59663.274609,37606.457852,3689.465664,12539.881409,50146.339260,5700.000000,2700.000000,0.04939264
2025-04-02,65876.804686,39628.353679,4085.258368,17415.687817,57044.041496,2700.000000,4950.000000,0.04630523
2025-04-03,63906.928350,39363.827755,492.080325,2040.005781,41403.833535,4950.000000,3450.000000,0.04803443
2025-04-04,58992.623883,26274.614908,0.000000,0.000000,26274.614908,3450.000000,4800.000000,0.16007388
2025-04-05,55185.852145,25263.351379,0.000000,0.000000,25263.351379,4800.000000,5700.000000,0.05441253
2025-04-06,58725.311075,35513.453159,1335.648467,5282.828660,40796.281819,5700.000000,4950.000000,0.10987833
2025-04-07,61320.090578,36528.253893,986.284853,3408.160324,39936.414217,4950.000000,5700.000000,0.03860719
2025-04-08,60689.291576,36186.685198,1162.466278,5329.717230,41516.402428,5700.000000,4800.000000,0.04771114
2025-04-09,62423.893410,37665.898140,3026.533743,11555.649599,49221.547739,4800.000000,4950.000000,0.05407384
2025-04-10,62051.620978,37277.597171,757.441760,3545.688591,40823.285762,4950.000000,3300.000000,0.04088155
2025-04-11,55541.153413,25179.565662,0.000000,0.000000,25179.565662,3300.000000,3450.000000,0.16113804
2025-04-12,55926.486539,25068.706990,11.537051,26.823643,25095.530633,3450.000000,6300.000000,0.05764530
2025-04-13,54573.128647,33474.077654,2382.167310,9971.831576,43445.909230,6300.000000,3450.000000,0.12279114
2025-04-14,61337.119984,36089.945810,1136.109181,4437.329586,40527.275396,3450.000000,5700.000000,0.04217746
2025-04-15,59511.125987,35173.127541,708.787901,3213.581074,38386.708615,5700.000000,4950.000000,0.04596678
2025-04-16,61525.241344,37224.970877,1414.336908,5035.287533,42260.258409,4950.000000,4950.000000,0.05539769
2025-04-17,61182.861260,36372.154092,267.124281,1037.256919,37409.411011,4950.000000,4060.514652,0.04582135
2025-04-18,54368.390317,24804.827162,0.000000,0.000000,24804.827162,4060.514652,4200.000000,0.14312448
2025-04-19,54226.535470,24083.569606,13.751858,26.238545,24109.808151,4200.000000,6450.000000,0.05732031
2025-04-20,56079.220779,33248.263759,2033.398055,9204.717248,42452.981006,6450.000000,5700.000000,0.11624318
2025-04-21,56897.033682,33432.207978,643.177885,2171.606836,35603.814814,5700.000000,4950.000000,0.04071137
2025-04-22,58461.833255,35035.317179,1066.235005,3923.370362,38958.687540,4950.000000,4950.000000,0.04972556
2025-04-23,60588.810750,35964.286034,432.340072,1462.501064,37426.787098,4950.000000,5700.000000,0.04441591
2025-04-24,58344.680946,34756.506108,95.097580,423.631282,35180.137391,5700.000000,4200.000000,0.04486971
2025-04-25,52043.543618,23073.209856,0.000000,0.000000,23073.209856,4200.000000,4200.000000,0.15498798
2025-04-26,50863.316246,23157.573165,0.000000,0.000000,23157.573165,4200.000000,5700.000000,0.06917192
2025-04-27,51565.978048,30745.172636,2044.230444,8925.661984,39670.834619,5700.000000,3509.100027,0.12183220
2025-04-28,55624.047584,33400.522041,6869.609622,28081.656351,61482.178392,3509.100027,4200.000000,0.06357906
2025-04-29,59705.068451,34473.756442,699.632366,2908.595682,37382.352124,4200.000000,6450.000000,0.05057064
2025-04-30,56031.809519,32967.279180,861.078562,2820.645424,35787.924604,6450.000000,4950.000000,0.04840396
2025-05-01,55768.287651,34409.125847,2712.597429,13145.276827,47554.402674,4950.000000,3450.000000,0.05340435
2025-05-02,49731.983096,24336.819626,0.000000,0.000000,24336.819626,3450.000000,2700.000000,0.11389753
2025-05-03,49806.838817,23713.575425,21.180569,44.055584,23757.631009,2700.000000,4200.000000,0.06117331
2025-05-04,54207.881041,33426.641971,4051.577330,16530.992948,49957.634919,4200.000000,4152.119812,0.10963837
2025-05-05,56136.341418,34354.286488,4747.149522,21937.885404,56292.171892,4152.119812,4200.000000,0.05836458
2025-05-06,58386.173489,36010.815966,2700.253756,12288.219267,48299.035233,4200.000000,4950.000000,0.04256530
2025-05-07,58922.493133,36415.386677,2312.670136,10672.550041,47087.936718,4950.000000,4950.000000,0.04524373
2025-05-08,59449.227312,37029.134316,2743.201940,10345.185794,47374.320110,4950.000000,4200.000000,0.05041304
2025-05-09,53439.964884,25714.491518,0.000000,0.000000,25714.491518,4200.000000,3450.000000,0.14573683
2025-05-10,53605.892973,25635.528727,0.000000,0.000000,25635.528727,3450.000000,5700.000000,0.05396134
2025-05-11,55239.506173,34699.460779,3661.413081,15255.500265,49954.961044,5700.000000,4174.917030,0.12260117
2025-05-12,59196.391334,36560.334148,1899.590418,6862.065072,43422.399219,4174.917030,4200.000000,0.04629972
2025-05-13,58068.455450,36164.878804,840.329592,3405.014509,39569.893313,4200.000000,2700.000000,0.05003881
2025-05-14,62167.710664,37986.842523,611.003400,2115.887034,40102.729557,2700.000000,3450.000000,0.04298492
2025-05-15,59812.731604,37489.350917,567.195774,2202.582344,39691.933262,3450.000000,1200.000000,0.04217878
2025-05-16,57020.574529,26756.107924,0.000000,0.000000,26756.107924,1200.000000,2700.000000,0.16306461
2025-05-17,54111.980897,26228.124168,11.729224,26.308648,26254.432816,2700.000000,4440.301093,0.04516545
2025-05-18,54743.649524,34379.897560,2678.849912,9559.777841,43939.675402,4440.301093,1950.000000,0.11048666
2025-05-19,61647.028872,37637.719450,378.918079,1943.422204,39581.141655,1950.000000,4200.000000,0.04834169
2025-05-20,59424.941483,36461.963839,1922.479379,8024.722633,44486.686472,4200.000000,3906.140823,0.05612242
2025-05-21,60805.181827,37883.268421,1121.887087,4355.180468,42238.448889,3906.140823,3450.000000,0.05202559
2025-05-22,60034.743552,37041.842898,72.296757,355.228326,37397.071225,3450.000000,1200.000000,0.04329096
2025-05-23,56550.861824,26812.709935,0.000000,0.000000,26812.709935,1200.000000,2700.000000,0.14379370
2025-05-24,56795.776587,26650.909003,0.000000,0.000000,26650.909003,2700.000000,6450.000000,0.06501270
2025-05-25,55691.427696,34517.167097,829.546504,3683.890788,38201.057885,6450.000000,4950.000000,0.11153150
2025-05-26,57189.908350,35305.745079,2935.451160,11350.387523,46656.132603,4950.000000,4200.000000,0.05581149
2025-05-27,59519.859380,36421.266658,328.675595,1068.482015,37489.748673,4200.000000,4200.000000,0.04730343
2025-05-28,58635.391308,36663.861115,1467.035638,5388.706680,42052.567795,4200.000000,2700.000000,0.05077182
2025-05-29,60682.928230,37518.744740,1244.503056,5198.195096,42716.939837,2700.000000,1950.000000,0.04899541
