日期,MAE(元/kWh),RMSE(元/kWh),MAPE,前日偏差权重,实际均价(元/kWh),预测均价(元/kWh)
2025-01-01,0.17703126,0.22274977,17.96708595%,0.00000000,0.92652153,0.76619722
2025-01-02,0.10503960,0.13232388,12.21214315%,0.60000000,0.92660278,1.02271611
2025-01-03,0.18910632,0.21020183,28.81018695%,0.60000000,0.73862361,0.92661291
2025-01-04,0.05024097,0.06180007,8.45828679%,0.60000000,0.73031667,0.74485762
2025-01-05,0.10060645,0.13166790,11.39123821%,0.00000000,0.92523194,0.85762195
2025-01-06,0.05123414,0.06449317,6.05002971%,0.60000000,0.92899236,0.91907920
2025-01-07,0.08747208,0.11777572,9.92234679%,0.00000000,0.92342222,0.87851320
2025-01-08,0.05004487,0.06392176,6.71752565%,0.60000000,0.91737361,0.92603353
2025-01-09,0.04664266,0.05871369,6.14235082%,0.60000000,0.92059236,0.91398060
2025-01-10,0.15359484,0.17139173,24.31794295%,0.60000000,0.72930417,0.88234962
2025-01-11,0.17271816,0.20778061,28.51959667%,0.00000000,0.73421250,0.90178367
2025-01-12,0.14818005,0.17364611,15.99422979%,0.60000000,0.92542153,0.77811653
2025-01-13,0.09006752,0.11745450,10.67397697%,0.00000000,0.91492014,0.86842193
2025-01-14,0.04526154,0.05601357,5.78915536%,0.60000000,0.91690139,0.91354685
2025-01-15,0.04459935,0.05773398,5.08274335%,0.60000000,0.92310278,0.91140198
2025-01-16,0.04062291,0.05279120,5.16526362%,0.60000000,0.91505139,0.91586703
2025-01-17,0.15840275,0.19205579,25.49287206%,0.00000000,0.72453611,0.87700198
2025-01-18,0.04450661,0.05707858,7.45498621%,0.60000000,0.72237014,0.75165182
2025-01-19,0.08997482,0.11830410,10.26558735%,0.00000000,0.91766875,0.86886129
2025-01-20,0.04386556,0.05594949,5.58885822%,0.60000000,0.91349514,0.90830776
2025-01-21,0.04403821,0.05633155,5.91481026%,0.59883786,0.89557431,0.90775268
2025-01-22,0.05272859,0.06723415,6.15771066%,0.62028807,0.91911667,0.89555963
2025-01-23,0.08628619,0.11565443,10.13171321%,0.00000000,0.92200417,0.88619349
2025-01-24,0.17196728,0.19604042,28.20549480%,0.62028807,0.70988056,0.88184783
2025-01-25,0.17485474,0.21000744,30.35732721%,0.00000000,0.70497153,0.87444933
2025-01-26,0.15389567,0.17833324,16.64880725%,0.62028807,0.91621736,0.76447346
2025-01-27,0.05250904,0.06487929,6.67802856%,0.46715317,0.89843333,0.89827080
2025-01-28,0.05208859,0.06837157,6.61001195%,0.49056413,0.90573403,0.88968784
2025-01-29,0.08178172,0.10520093,9.87225336%,0.00000000,0.88981597,0.87822564
2025-01-30,0.05640400,0.06923448,7.34869514%,0.49056413,0.90012986,0.88836589
2025-01-31,0.15400385,0.18720157,25.91372364%,0.00000000,0.71139514,0.85845475
2025-02-01,0.09609270,0.12022677,16.11475197%,0.57349229,0.65149306,0.74074512
2025-02-02,0.11270114,0.13441624,13.68009609%,0.66291163,0.83638819,0.72561247
2025-02-03,0.04185791,0.05340949,5.45906223%,0.56874871,0.84479028,0.83716893
2025-02-04,0.07442463,0.09751723,9.61491304%,0.00000000,0.84918958,0.83277713
2025-02-05,0.03835760,0.04874695,5.44328532%,0.56874871,0.84825417,0.84771593
2025-02-06,0.07296745,0.09581458,8.91627554%,0.00000000,0.84396458,0.83396821
2025-02-07,0.16785676,0.18981767,30.20748475%,0.52921940,0.64403889,0.81170628
2025-02-08,0.05913663,0.07065582,11.31917892%,0.52455146,0.64235139,0.68837489
2025-02-09,0.12158592,0.14074323,14.72085797%,0.56832691,0.84138403,0.72329488
2025-02-10,0.06860133,0.09136683,9.10582135%,0.00000000,0.81806389,0.79461944
2025-02-11,0.04138261,0.05052288,5.64824293%,0.56832691,0.82849236,0.81086235
2025-02-12,0.07050068,0.09188602,8.89395766%,0.00000000,0.82642431,0.79307290
2025-02-13,0.04833426,0.05717707,7.09106323%,0.53139167,0.81479097,0.81748264
2025-02-14,0.14322812,0.16381022,25.15066806%,0.54136446,0.63110000,0.77422948
2025-02-15,0.04856527,0.05899102,9.05018719%,0.53843918,0.63784722,0.67195318
2025-02-16,0.07453953,0.09855103,9.76330915%,0.00000000,0.83032222,0.78241507
2025-02-17,0.04358998,0.05485573,6.02132352%,0.53843918,0.81735278,0.81441774
2025-02-18,0.06325631,0.08472681,8.36088509%,0.00000000,0.81452153,0.78388571
2025-02-19,0.04709516,0.05884876,6.99624035%,0.49320639,0.81642986,0.80579386
2025-02-20,0.04778619,0.05977654,6.58576687%,0.50657894,0.81680694,0.80828468
2025-02-21,0.14903587,0.17040906,27.53282672%,0.51765918,0.62085000,0.76957940
2025-02-22,0.14298828,0.16996766,27.16976148%,0.00000000,0.63528403,0.77124314
2025-02-23,0.10762614,0.12687249,13.17599612%,0.51765918,0.81537847,0.70977606
2025-02-24,0.07148842,0.09455256,9.62210942%,0.00000000,0.80824931,0.77241417
2025-02-25,0.03730519,0.04917033,5.59637762%,0.64412121,0.79409653,0.80278190
2025-02-26,0.04160744,0.05235555,6.11624076%,0.65001679,0.80553819,0.79412230
2025-02-27,0.04249139,0.05398584,6.32199749%,0.65952555,0.79791181,0.80032611
2025-02-28,0.14143183,0.16426663,25.90020355%,0.00000000,0.61667847,0.75718265
2025-03-01,0.03685926,0.04661758,7.43979942%,0.77297402,0.61422222,0.63121599
2025-03-02,0.04963393,0.06320214,6.69276703%,0.00000000,0.81229306,0.79659391
2025-03-03,0.03673740,0.04618522,5.30266423%,0.77297402,0.81185000,0.80389798
2025-03-04,0.02908938,0.03626799,4.23869069%,0.76706137,0.80062778,0.80436060
2025-03-05,0.03545667,0.04257742,5.36434429%,0.76504389,0.79450069,0.80252867
2025-03-06,0.04463679,0.06159129,6.15036741%,0.00000000,0.79185694,0.78793175
2025-03-07,0.12208213,0.14056828,25.61655844%,0.58837093,0.60850139,0.73015912
2025-03-08,0.14499607,0.16840387,28.31098273%,0.00000000,0.59726319,0.74061576
2025-03-09,0.09494459,0.10966202,12.35843082%,0.57955838,0.78380903,0.69149757
2025-03-10,0.03903612,0.05107554,5.34995445%,0.50261523,0.80245139,0.78047181
2025-03-11,0.03655533,0.04580552,5.34556558%,0.50410810,0.78939306,0.79061996
2025-03-12,0.04451563,0.05578659,6.41631307%,0.00000000,0.78016806,0.77859796
2025-03-13,0.04445055,0.05978991,6.41035724%,0.59082637,0.79963750,0.78001517
2025-03-14,0.14177761,0.16548244,31.69779651%,0.00000000,0.59138681,0.73214795
2025-03-15,0.05286522,0.06600892,10.05980315%,0.59082637,0.60477222,0.63314576
2025-03-16,0.09194016,0.10780801,11.72493157%,0.61730378,0.78489514,0.69726061
2025-03-17,0.03663127,0.04675743,5.75660251%,0.53143802,0.76017569,0.77879357
2025-03-18,0.03792565,0.04794344,5.48570919%,0.00000000,0.77601667,0.76390751
2025-03-19,0.03552956,0.04739197,5.48860966%,0.38614293,0.77183819,0.76775003
2025-03-20,0.04046204,0.04977241,6.16560644%,0.00000000,0.77863819,0.76228697
2025-03-21,0.14492506,0.16764951,33.58785323%,0.38614293,0.57029028,0.71518612
2025-03-22,0.05867265,0.06941665,13.96116974%,0.36718878,0.58738819,0.64055424
2025-03-23,0.06568002,0.07995823,9.12355358%,0.43513185,0.76717847,0.70477283
2025-03-24,0.04293869,0.05554474,6.40976960%,0.00000000,0.76748611,0.75132020
2025-03-25,0.03414553,0.04620986,4.93080538%,0.39542340,0.77127569,0.75271827
2025-03-26,0.04452737,0.05823529,6.80399099%,0.00000000,0.75661111,0.73938011
2025-03-27,0.03606124,0.04921591,5.46068352%,0.39542340,0.76641597,0.74807391
2025-03-28,0.11808512,0.13800598,28.28343833%,0.39896975,0.57476806,0.68972518
2025-03-29,0.07688296,0.09536538,20.45049329%,0.37839524,0.56308681,0.63580540
2025-03-30,0.03984370,0.04931954,6.24770790%,0.00000000,0.75202708,0.74156492
2025-03-31,0.03913302,0.05237511,5.65163161%,0.36992906,0.76070417,0.74578549
2025-04-01,0.05849486,0.07115414,8.20691826%,0.00000000,0.77310903,0.73288132
2025-04-02,0.04383425,0.05700589,6.02491667%,0.36992906,0.77232014,0.74712112
2025-04-03,0.04145216,0.05349940,6.55387597%,0.38230831,0.76446389,0.75884907
2025-04-04,0.12332873,0.14152268,27.66069973%,0.37934877,0.55950278,0.68232048
2025-04-05,0.09992641,0.11927414,22.05486599%,0.00000000,0.57552847,0.67348668
2025-04-06,0.06582261,0.07754320,9.61847367%,0.36279080,0.75568681,0.69273320
2025-04-07,0.04288255,0.05413643,6.64823158%,0.00000000,0.75171597,0.72540073
2025-04-08,0.04084539,0.05226263,6.42487044%,0.34573784,0.75191597,0.74475997
2025-04-09,0.04620771,0.06126087,6.83164738%,0.34823739,0.76627083,0.74018345
