数据集,开始日期,结束日期,天数,模型或策略,验证集选定策略,电价MAE(元/kWh),电价RMSE(元/kWh),电价修正MAPE,计划或最终购电量(kWh),紧急购电量(kWh),紧急购电占比,常规或调整购电费(元),紧急购电费(元),总购电费(元)
训练集,2025-01-01,2025-12-31,244,动态电价预测,,0.07231709102510389,0.09727090243136187,0.11537041847723874,,,,,,
训练集,2025-01-01,2025-12-31,244,问题4-2_动态电价LP,,,,,16924294.72277117,373508.2451092543,0.021592814174309093,11053159.494113311,1722784.1046292174,12775943.598742528
训练集,2025-01-01,2025-12-31,244,问题4-3_S0_仅0点,否,,,,17014618.317550533,355345.0039158069,0.020457441235737128,11114206.009209724,1586237.7326321686,12700443.741841894
训练集,2025-01-01,2025-12-31,244,问题4-3_S1_增加6点,否,,,,16666252.184455523,276696.3222395034,0.01633106080267944,11209944.13825531,1233328.7078618857,12443272.846117195
训练集,2025-01-01,2025-12-31,244,问题4-3_S2_增加12点,是,,,,16462564.340672689,221058.74656606134,0.013250044394442623,11174833.009140955,960094.8785391087,12134927.887680065
训练集,2025-01-01,2025-12-31,244,问题4-3_S3_完整MPC,否,,,,16507678.83469389,229753.54415599004,0.013726928895397134,11381555.042796921,977840.9893830272,12359396.032179948
验证集,2025-01-04,2025-12-30,61,动态电价预测,,0.06099664434942303,0.0818472242109509,0.10113121580368284,,,,,,
验证集,2025-01-04,2025-12-30,61,问题4-2_动态电价LP,,,,,4246708.549637771,52174.97345302856,0.012136866042724494,2751119.942420551,221906.27687694042,2973026.2192974915
验证集,2025-01-04,2025-12-30,61,问题4-3_S0_仅0点,否,,,,4268683.427617768,47389.425691089426,0.01097975574132373,2765082.9327191883,203304.361699756,2968387.294418944
验证集,2025-01-04,2025-12-30,61,问题4-3_S1_增加6点,否,,,,4183429.4530369905,35850.55094346273,0.00849684090879047,2781566.47203897,152068.83147597054,2933635.30351494
验证集,2025-01-04,2025-12-30,61,问题4-3_S2_增加12点,是,,,,4099362.0711549046,34967.976758309036,0.008457954820505677,2741755.4350878345,146631.2756145804,2888386.710702415
验证集,2025-01-04,2025-12-30,61,问题4-3_S3_完整MPC,否,,,,4102509.7910241345,40556.19942017649,0.009788933971536176,2783575.068207906,167030.82789161513,2950605.8960995213
测试集,2025-01-06,2025-12-26,60,动态电价预测,,0.06426682858940287,0.0860158984262845,0.1035193063123082,,,,,,
测试集,2025-01-06,2025-12-26,60,问题4-2_动态电价LP,,,,,4126433.256803179,71598.32342656705,0.01705521315364871,2662044.0188161074,326497.0987952997,2988541.1176114073
测试集,2025-01-06,2025-12-26,60,问题4-3_S0_仅0点,否,,,,4125466.526857793,76027.35671346856,0.018095315337897256,2667692.57906964,329221.12808015296,2996913.707149793
测试集,2025-01-06,2025-12-26,60,问题4-3_S1_增加6点,否,,,,4070480.423224848,50125.983064148255,0.012164710268771226,2713143.295255772,215552.39985681063,2928695.6951125823
测试集,2025-01-06,2025-12-26,60,问题4-3_S2_增加12点,是,,,,3996918.580669515,42389.03374678247,0.01049413359742544,2686357.3528134064,180690.87448924684,2867048.2273026532
测试集,2025-01-06,2025-12-26,60,问题4-3_S3_完整MPC,否,,,,4000379.8982240586,49708.48844481296,0.012273432996778952,2725839.533274464,212612.60837084346,2938452.141645307
