对象,模块,对照模型,加入模块后模型,评价指标,加入前,加入后,性能恶化率(%；正值表示移除模块后恶化)
负荷预测,历史信息,典型日静态基准,仅历史加权轮廓,RMSE,1020.4597576923613,793.8602474586214,22.205629229923346
负荷预测,年度周期与星期回归,去除周期回归,完整模型,RMSE,798.023758372795,380.92754162403884,52.266140246154244
负荷预测,小波残差修正,去除小波修正,完整模型,RMSE,501.85540939554613,380.92754162403884,24.09615708180917
负荷预测,贝叶斯参数更新,去除贝叶斯更新,完整模型,RMSE,545.5389844830308,380.92754162403884,30.174093427068787
光伏预测（有效发电时段）,截断幂正弦,历史加权轮廓,截断正弦完整模型,RMSE,454.41434745384356,451.4409628061377,0.6543333555303044
实时电价预测,历史信息,典型日静态基准,历史加权轮廓,RMSE,0.13212908791724323,0.09786236302327367,25.93427793540203
实时电价预测,傅里叶周期提取,历史加权轮廓,仅傅里叶周期项,RMSE,0.09786236302327367,0.13927575231253597,-42.31799438504602
实时电价预测,小波残差重构,仅傅里叶周期项,傅里叶+小波,RMSE,0.13927575231253597,0.1265735588247014,9.120175821653973
实时电价预测,前日偏差修正,傅里叶+小波,增加前日偏差修正,RMSE,0.1265735588247014,0.10166150608880295,19.68187745309469
实时电价预测,贝叶斯参数更新,增加前日偏差修正,完整模型（含贝叶斯更新）,RMSE,0.10166150608880295,0.0860158984262845,15.38990347915145
问题三购电优化,6:00/12:00 MPC滚动更新,S0_仅0点,S2_增加12点,测试集总费用(元),2836057.5586500717,2707904.8649228998,4.5186915666186644
问题四购电优化,6:00/12:00 MPC滚动更新,S0_仅0点,S2_增加12点,测试集总费用(元),2996913.707149793,2866756.227160292,4.343050641697877
