对象,完整模型,对照模型,测试集日均MAE差值,Wilcoxon单侧p值,完整模型显著更优(p<0.05)
负荷预测,完整模型,典型日静态基准,531.6050790901274,8.147778971559672e-12,是
负荷预测,完整模型,前一日持续性基准,411.90666933318295,0.1269248775946034,否
负荷预测,完整模型,仅历史加权轮廓,372.06022437534125,3.136083024964601e-11,是
负荷预测,完整模型,去除周期回归,375.5304234680997,2.332184838724825e-11,是
负荷预测,完整模型,去除小波修正,121.7545284716234,8.570746990858083e-12,是
负荷预测,完整模型,去除贝叶斯更新,163.16212600381033,1.2637026938659e-10,是
实时电价预测,完整模型（含贝叶斯更新）,典型日静态基准,0.033406215392078616,1.063999987468638e-06,是
实时电价预测,完整模型（含贝叶斯更新）,前一日持续性基准,0.020983692243930464,0.06017595106923947,否
实时电价预测,完整模型（含贝叶斯更新）,历史加权轮廓,0.011204180455113255,0.0005995264397090415,是
实时电价预测,完整模型（含贝叶斯更新）,仅傅里叶周期项,0.043112695467812226,4.8726880445790966e-11,是
实时电价预测,完整模型（含贝叶斯更新）,傅里叶+小波,0.03290320750029481,1.184378724755849e-09,是
实时电价预测,完整模型（含贝叶斯更新）,增加前日偏差修正,0.011481364080864984,1.154959719487988e-06,是
