年份,地块,季次,作物,面积亩
2024,A1,单季,南瓜,11.7
2024,A1,单季,红薯,16.3636
2024,A1,单季,荞麦,13.6364
2024,A1,单季,黑豆,38.3
2024,D1,第一季,茄子,7.0875
2024,D1,第一季,豇豆,6.825
2024,D1,第一季,黄瓜,1.0875
2024,D1,第二季,大白菜,15.0
2024,E1,第一季,生菜,0.57
2024,E1,第二季,榆黄菇,0.6
2025,A1,单季,红豆,8.5714
2025,A1,单季,高粱,47.619
2025,A1,单季,黍子,23.8095
2025,D1,第一季,茄子,7.0875
2025,D1,第一季,豇豆,6.825
2025,D1,第一季,黄瓜,1.0875
2025,D1,第二季,大白菜,15.0
2025,E1,第一季,生菜,0.57
2025,E1,第二季,榆黄菇,0.6
2026,A1,单季,南瓜,11.7
2026,A1,单季,红薯,16.3636
2026,A1,单季,荞麦,13.6364
2026,A1,单季,黑豆,38.3
2026,D1,第一季,茄子,7.0875
2026,D1,第一季,豇豆,6.825
2026,D1,第一季,黄瓜,1.0875
2026,D1,第二季,大白菜,15.0
2026,E1,第一季,油麦菜,0.3
2026,E1,第一季,生菜,0.3
2026,E1,第二季,榆黄菇,0.6
2027,A1,单季,红豆,8.5714
2027,A1,单季,高粱,47.619
2027,A1,单季,黍子,23.8095
2027,D1,第一季,茄子,7.0875
2027,D1,第一季,豇豆,6.825
2027,D1,第一季,黄瓜,1.0875
2027,D1,第二季,大白菜,15.0
2027,E1,第一季,包菜,0.6
2027,E1,第二季,白灵菇,0.6
2028,A1,单季,南瓜,11.7
2028,A1,单季,红薯,16.3636
2028,A1,单季,荞麦,13.6364
2028,A1,单季,黑豆,38.3
2028,D1,第一季,茄子,7.0875
2028,D1,第一季,豇豆,6.825
2028,D1,第一季,黄瓜,1.0875
2028,D1,第二季,大白菜,15.0
2028,E1,第一季,生菜,0.57
2028,E1,第二季,榆黄菇,0.6
2029,A1,单季,红豆,8.5714
2029,A1,单季,高粱,47.619
2029,A1,单季,黍子,23.8095
2029,D1,第一季,茄子,7.0875
2029,D1,第一季,豇豆,6.825
2029,D1,第一季,黄瓜,1.0875
2029,D1,第二季,大白菜,15.0
2029,E1,第一季,豇豆,0.6
2029,E1,第二季,白灵菇,0.6
2030,A1,单季,南瓜,11.7
2030,A1,单季,红薯,16.3636
2030,A1,单季,荞麦,13.6364
2030,A1,单季,黑豆,38.3
2030,D1,第一季,茄子,7.0875
2030,D1,第一季,豇豆,6.825
2030,D1,第一季,黄瓜,1.0875
2030,D1,第二季,大白菜,15.0
2030,E1,第一季,包菜,0.6
2030,E1,第二季,白灵菇,0.6
