指标,数值
case1_total,78164125.8
case1_by_year_2024,11150013.7
case1_by_year_2025,11166682.1
case1_by_year_2026,11163388.3
case1_by_year_2027,11168213.8
case1_by_year_2028,11169895.3
case1_by_year_2029,11169675.2
case1_by_year_2030,11176257.6
case1_n_plantings,901
case2_total,86513866.0
case2_by_year_2024,12375398.5
case2_by_year_2025,12342795.4
case2_by_year_2026,12376119.1
case2_by_year_2027,12321413.2
case2_by_year_2028,12358004.1
case2_by_year_2029,12370453.6
case2_by_year_2030,12369682.2
case2_n_plantings,734
