年份,地块,季次,作物编号,面积
2024,A1,单季,9,44.7475
2024,A1,单季,11,18.7071
2024,A1,单季,13,16.5455
2025,A1,单季,2,43.0185
2025,A1,单季,10,25.7364
2025,A1,单季,12,11.245
2026,A1,单季,9,43.4461
2026,A1,单季,11,20.4861
2026,A1,单季,13,16.0678
2027,A1,单季,2,45.498
2027,A1,单季,10,22.47
2027,A1,单季,12,12.032
2028,A1,单季,9,51.2494
2028,A1,单季,11,13.6982
2028,A1,单季,13,15.0525
2029,A1,单季,2,40.7017
2029,A1,单季,10,28.5262
2029,A1,单季,12,10.7721
2030,A1,单季,9,43.4105
2030,A1,单季,11,19.8671
2030,A1,单季,13,16.7224
2024,A2,单季,2,38.4545
2024,A2,单季,13,16.5455
2025,A2,单季,10,43.755
2025,A2,单季,12,11.245
2026,A2,单季,2,38.9322
2026,A2,单季,13,16.0678
2027,A2,单季,9,55.0
2028,A2,单季,10,39.9475
2028,A2,单季,13,15.0525
2029,A2,单季,12,55.0
2030,A2,单季,2,55.0
2024,A3,单季,2,35.0
2025,A3,单季,12,11.245
2025,A3,单季,13,23.755
2027,A3,单季,9,35.0
2028,A3,单季,12,11.1628
2028,A3,单季,13,23.8372
2029,A3,单季,10,35.0
2030,A3,单季,13,35.0
2024,A4,单季,9,55.4545
2024,A4,单季,13,16.5455
2025,A4,单季,2,42.0301
2025,A4,单季,10,18.7249
2025,A4,单季,12,11.245
2026,A4,单季,9,42.4695
2026,A4,单季,11,13.4627
2026,A4,单季,13,16.0678
2027,A4,单季,2,37.498
2027,A4,单季,10,22.47
2027,A4,单季,12,12.032
2028,A4,单季,9,51.2494
2028,A4,单季,13,20.7506
2029,A4,单季,2,38.2226
2029,A4,单季,10,23.0053
2029,A4,单季,12,10.7721
2030,A4,单季,9,43.4105
2030,A4,单季,11,11.8671
2030,A4,单季,13,16.7224
2024,A5,单季,9,36.973
2024,A5,单季,11,14.4815
2024,A5,单季,13,16.5455
2025,A5,单季,2,42.0301
2025,A5,单季,10,14.7249
2025,A5,单季,12,11.245
2026,A5,单季,9,51.9322
2026,A5,单季,13,16.0678
2027,A5,单季,2,42.6849
2027,A5,单季,11,13.2831
2027,A5,单季,12,12.032
2028,A5,单季,9,51.2494
2028,A5,单季,13,16.7506
2029,A5,单季,2,34.2226
2029,A5,单季,10,23.0053
2029,A5,单季,12,10.7721
2030,A5,单季,9,51.2776
2030,A5,单季,13,16.7224
2024,A6,单季,2,38.4545
2024,A6,单季,13,16.5455
2025,A6,单季,10,43.755
2025,A6,单季,12,11.245
2026,A6,单季,2,38.9322
2026,A6,单季,13,16.0678
2027,A6,单季,9,46.5846
2027,A6,单季,12,8.4154
2028,A6,单季,2,14.9231
2028,A6,单季,10,25.0244
2028,A6,单季,13,15.0525
2029,A6,单季,12,55.0
2030,A6,单季,2,38.2776
2030,A6,单季,13,16.7224
2024,B1,单季,9,44.8289
2024,B1,单季,11,15.1711
2025,B1,单季,2,43.3855
2025,B1,单季,13,16.6145
2026,B1,单季,9,48.3261
2026,B1,单季,12,11.6739
2027,B1,单季,2,5.9828
2027,B1,单季,10,23.5935
2027,B1,单季,11,13.9156
2027,B1,单季,13,16.508
2028,B1,单季,9,60.0
2029,B1,单季,2,19.8494
2029,B1,单季,10,24.1555
2029,B1,单季,13,15.9951
2030,B1,单季,9,45.5811
2030,B1,单季,11,14.4189
2024,B2,单季,9,46.0
2025,B2,单季,2,46.0
2027,B2,单季,10,29.492
2027,B2,单季,13,16.508
2029,B2,单季,2,46.0
2030,B2,单季,9,46.0
2024,B3,单季,2,40.0
2025,B3,单季,11,23.3855
2025,B3,单季,13,16.6145
2026,B3,单季,2,40.0
2027,B3,单季,9,40.0
2028,B3,单季,10,40.0
2029,B3,单季,11,14.226
2029,B3,单季,12,9.779
2029,B3,单季,13,15.9951
2030,B3,单季,2,40.0
2024,B4,单季,10,28.0
2025,B4,单季,13,28.0
2026,B4,单季,11,16.3261
2026,B4,单季,12,11.6739
2027,B4,单季,13,28.0
2028,B4,单季,10,16.2497
2028,B4,单季,12,11.7503
2030,B4,单季,13,28.0
2024,B5,单季,10,25.0
2025,B5,单季,13,25.0
2026,B5,单季,11,14.1038
2026,B5,单季,12,10.8962
2027,B5,单季,13,25.0
2028,B5,单季,2,0.5
2028,B5,单季,11,13.0347
2028,B5,单季,12,11.4653
2029,B5,单季,13,25.0
2030,B5,单季,10,25.0
2024,B6,单季,2,39.0152
2024,B6,单季,9,46.9848
2025,B6,单季,3,15.6909
2025,B6,单季,10,27.0233
2025,B6,单季,11,14.8345
2025,B6,单季,12,11.8369
2025,B6,单季,13,16.6145
2026,B6,单季,2,40.3816
2026,B6,单季,9,45.6184
2027,B6,单季,10,23.5935
2027,B6,单季,11,33.2332
2027,B6,单季,12,12.6653
2027,B6,单季,13,16.508
2028,B6,单季,9,86.0
2029,B6,单季,10,24.1555
2029,B6,单季,11,34.5104
2029,B6,单季,12,11.339
2029,B6,单季,13,15.9951
2030,B6,单季,2,40.4189
2030,B6,单季,9,45.5811
2024,B7,单季,9,55.0
2025,B7,单季,2,40.1655
2025,B7,单季,11,14.8345
2026,B7,单季,9,55.0
2027,B7,单季,10,23.5935
2027,B7,单季,11,13.9156
2027,B7,单季,12,0.9828
2027,B7,单季,13,16.508
2028,B7,单季,9,55.0
2029,B7,单季,10,39.0049
2029,B7,单季,13,15.9951
2030,B7,单季,2,39.5216
2030,B7,单季,11,15.4784
2024,B8,单季,2,43.3248
2024,B8,单季,3,0.6752
2025,B8,单季,10,27.0233
2025,B8,单季,11,16.9767
2026,B8,单季,2,44.0
2027,B8,单季,9,44.0
2028,B8,单季,10,32.2497
2028,B8,单季,12,11.7503
2029,B8,单季,2,29.774
2029,B8,单季,11,14.226
2030,B8,单季,9,44.0
2024,B9,单季,2,43.3248
2024,B9,单季,10,6.6752
2025,B9,单季,11,21.5487
2025,B9,单季,12,11.8369
2025,B9,单季,13,16.6145
2026,B9,单季,2,50.0
2027,B9,单季,9,50.0
2028,B9,单季,10,38.2497
2028,B9,单季,12,11.7503
2029,B9,单季,11,34.0049
2029,B9,单季,13,15.9951
2030,B9,单季,2,50.0
2024,B10,单季,13,25.0
2026,B10,单季,12,8.1671
2026,B10,单季,13,16.8329
2028,B10,单季,11,13.2497
2028,B10,单季,12,11.7503
2029,B10,单季,10,25.0
2030,B10,单季,13,25.0
2024,B11,单季,11,60.0
2025,B11,单季,2,43.3855
2025,B11,单季,13,16.6145
2026,B11,单季,9,48.3261
2026,B11,单季,12,11.6739
2027,B11,单季,10,23.5935
2027,B11,单季,11,19.8984
2027,B11,单季,13,16.508
2028,B11,单季,9,60.0
2029,B11,单季,2,42.8439
2029,B11,单季,11,17.1561
2030,B11,单季,9,42.4813
2030,B11,单季,13,17.5187
2024,B12,单季,9,45.0
2025,B12,单季,2,45.0
2026,B12,单季,9,45.0
2027,B12,单季,11,15.8267
2027,B12,单季,12,12.6653
2027,B12,单季,13,16.508
2028,B12,单季,9,45.0
2029,B12,单季,2,45.0
2024,B13,单季,2,35.0
2025,B13,单季,10,35.0
2026,B13,单季,2,35.0
2027,B13,单季,9,35.0
2028,B13,单季,2,8.7244
2028,B13,单季,10,26.2756
2029,B13,单季,11,14.226
2029,B13,单季,12,4.779
2029,B13,单季,13,15.9951
2030,B13,单季,2,35.0
2024,B14,单季,13,20.0
2025,B14,单季,11,20.0
2026,B14,单季,12,3.1671
2026,B14,单季,13,16.8329
2027,B14,单季,11,20.0
2028,B14,单季,12,20.0
2029,B14,单季,13,20.0
2030,B14,单季,10,20.0
2024,C1,单季,10,15.0
2025,C1,单季,9,15.0
2026,C1,单季,11,15.0
2027,C1,单季,2,15.0
2028,C1,单季,3,1.3136
2028,C1,单季,11,13.6864
2029,C1,单季,9,15.0
2030,C1,单季,11,15.0
2024,C2,单季,10,13.0
2025,C2,单季,9,13.0
2026,C2,单季,10,13.0
2027,C2,单季,12,13.0
2028,C2,单季,2,13.0
2029,C2,单季,9,13.0
2030,C2,单季,10,13.0
2024,C3,单季,11,15.0
2025,C3,单季,9,15.0
2027,C3,单季,2,15.0
2028,C3,单季,3,1.3136
2028,C3,单季,11,13.6864
2029,C3,单季,9,15.0
2030,C3,单季,11,15.0
2024,C4,单季,3,2.0704
2024,C4,单季,11,15.9296
2025,C4,单季,9,18.0
2026,C4,单季,10,3.191
2026,C4,单季,11,14.809
2027,C4,单季,2,18.0
2028,C4,单季,11,18.0
2029,C4,单季,9,18.0
2030,C4,单季,10,18.0
2024,C5,单季,10,11.0704
2024,C5,单季,11,15.9296
2025,C5,单季,9,27.0
2026,C5,单季,11,14.809
2026,C5,单季,12,12.191
2027,C5,单季,10,27.0
2028,C5,单季,2,13.3136
2028,C5,单季,11,13.6864
2029,C5,单季,9,27.0
2030,C5,单季,10,10.7477
2030,C5,单季,11,16.2523
2024,C6,单季,10,4.0704
2024,C6,单季,11,15.9296
2025,C6,单季,9,20.0
2026,C6,单季,10,5.191
2026,C6,单季,11,14.809
2027,C6,单季,2,20.0
2028,C6,单季,3,6.3136
2028,C6,单季,11,13.6864
2029,C6,单季,9,20.0
2030,C6,单季,10,20.0
2024,D1,第一季,29,15.0
2024,D1,第二季,35,15.0
2025,D1,第一季,29,15.0
2025,D1,第二季,35,15.0
2026,D1,第一季,29,15.0
2026,D1,第二季,35,15.0
2027,D1,第一季,29,15.0
2027,D1,第二季,35,15.0
2028,D1,第一季,29,15.0
2028,D1,第二季,35,15.0
2029,D1,第一季,29,15.0
2029,D1,第二季,35,15.0
2030,D1,第一季,29,15.0
2030,D1,第二季,35,15.0
2024,D2,第一季,29,10.0
2024,D2,第二季,35,10.0
2025,D2,第一季,29,10.0
2025,D2,第二季,35,10.0
2026,D2,第一季,29,10.0
2026,D2,第二季,35,10.0
2027,D2,第一季,29,10.0
2027,D2,第二季,35,10.0
2028,D2,第一季,29,10.0
2028,D2,第二季,35,10.0
2029,D2,第一季,29,10.0
2029,D2,第二季,35,10.0
2030,D2,第一季,29,10.0
2030,D2,第二季,35,10.0
2024,D3,第一季,29,14.0
2024,D3,第二季,35,14.0
2025,D3,第一季,29,14.0
2025,D3,第二季,35,14.0
2026,D3,第一季,29,14.0
2026,D3,第二季,35,14.0
2027,D3,第一季,29,14.0
2027,D3,第二季,35,14.0
2028,D3,第一季,29,14.0
2028,D3,第二季,35,14.0
2029,D3,第一季,29,14.0
2029,D3,第二季,35,14.0
2030,D3,第一季,29,14.0
2030,D3,第二季,35,14.0
2024,D4,第一季,29,6.0
2024,D4,第二季,35,6.0
2025,D4,第一季,29,6.0
2025,D4,第二季,35,6.0
2026,D4,第一季,29,6.0
2026,D4,第二季,35,6.0
2027,D4,第一季,29,6.0
2027,D4,第二季,35,6.0
2028,D4,第一季,29,6.0
2028,D4,第二季,35,6.0
2029,D4,第一季,29,6.0
2029,D4,第二季,35,6.0
2030,D4,第一季,29,6.0
2030,D4,第二季,35,6.0
2024,D5,第一季,29,10.0
2024,D5,第二季,35,10.0
2025,D5,第一季,29,10.0
2025,D5,第二季,35,10.0
2026,D5,第一季,29,10.0
2026,D5,第二季,35,10.0
2027,D5,第一季,29,10.0
