时间s,最坏视线距离m,是否被遮
5.100,22.7658,0
5.101,22.7615,0
5.102,22.7572,0
5.103,22.7530,0
5.104,22.7487,0
5.105,22.7444,0
5.106,22.7401,0
5.107,22.7358,0
5.108,22.7316,0
5.109,22.7273,0
5.110,22.7230,0
5.111,22.7187,0
5.112,22.7144,0
5.113,22.7102,0
5.114,22.7059,0
5.115,22.7016,0
5.116,22.6973,0
5.117,22.6930,0
5.118,22.6888,0
5.119,22.6845,0
5.120,22.6802,0
5.121,22.6759,0
5.122,22.6716,0
5.123,22.6674,0
5.124,22.6631,0
5.125,22.6588,0
5.126,22.6545,0
5.127,22.6502,0
5.128,22.6460,0
5.129,22.6417,0
5.130,22.6374,0
5.131,22.6331,0
5.132,22.6288,0
5.133,22.6246,0
5.134,22.6203,0
5.135,22.6160,0
5.136,22.6117,0
5.137,22.6074,0
5.138,22.6032,0
5.139,22.5989,0
5.140,22.5946,0
5.141,22.5903,0
5.142,22.5860,0
5.143,22.5818,0
5.144,22.5775,0
5.145,22.5732,0
5.146,22.5689,0
5.147,22.5646,0
5.148,22.5604,0
5.149,22.5561,0
5.150,22.5518,0
5.151,22.5475,0
5.152,22.5432,0
5.153,22.5389,0
5.154,22.5347,0
5.155,22.5304,0
5.156,22.5261,0
5.157,22.5218,0
5.158,22.5175,0
5.159,22.5133,0
5.160,22.5090,0
5.161,22.5047,0
5.162,22.5004,0
5.163,22.4961,0
5.164,22.4918,0
5.165,22.4876,0
5.166,22.4833,0
5.167,22.4790,0
5.168,22.4747,0
5.169,22.4704,0
5.170,22.4661,0
5.171,22.4619,0
5.172,22.4576,0
5.173,22.4533,0
5.174,22.4490,0
5.175,22.4447,0
5.176,22.4405,0
5.177,22.4362,0
5.178,22.4319,0
5.179,22.4276,0
5.180,22.4233,0
5.181,22.4190,0
5.182,22.4148,0
5.183,22.4105,0
5.184,22.4062,0
5.185,22.4019,0
5.186,22.3976,0
5.187,22.3933,0
5.188,22.3891,0
5.189,22.3848,0
5.190,22.3805,0
5.191,22.3762,0
5.192,22.3719,0
5.193,22.3676,0
5.194,22.3634,0
5.195,22.3591,0
5.196,22.3548,0
5.197,22.3505,0
5.198,22.3462,0
5.199,22.3419,0
5.200,22.3377,0
5.201,22.3334,0
5.202,22.3291,0
5.203,22.3248,0
5.204,22.3205,0
5.205,22.3162,0
5.206,22.3119,0
5.207,22.3077,0
5.208,22.3034,0
5.209,22.2991,0
5.210,22.2948,0
5.211,22.2905,0
5.212,22.2862,0
5.213,22.2820,0
5.214,22.2777,0
5.215,22.2734,0
5.216,22.2691,0
5.217,22.2648,0
5.218,22.2605,0
5.219,22.2562,0
5.220,22.2520,0
5.221,22.2477,0
5.222,22.2434,0
5.223,22.2391,0
5.224,22.2348,0
5.225,22.2305,0
5.226,22.2263,0
5.227,22.2220,0
5.228,22.2177,0
5.229,22.2134,0
5.230,22.2091,0
5.231,22.2048,0
5.232,22.2005,0
5.233,22.1963,0
5.234,22.1920,0
5.235,22.1877,0
5.236,22.1834,0
5.237,22.1791,0
5.238,22.1748,0
5.239,22.1705,0
5.240,22.1663,0
5.241,22.1620,0
5.242,22.1577,0
5.243,22.1534,0
5.244,22.1491,0
5.245,22.1448,0
5.246,22.1405,0
5.247,22.1363,0
5.248,22.1320,0
5.249,22.1277,0
5.250,22.1234,0
5.251,22.1191,0
5.252,22.1148,0
5.253,22.1105,0
5.254,22.1062,0
5.255,22.1020,0
5.256,22.0977,0
5.257,22.0934,0
5.258,22.0891,0
5.259,22.0848,0
5.260,22.0805,0
5.261,22.0762,0
5.262,22.0719,0
5.263,22.0677,0
5.264,22.0634,0
5.265,22.0591,0
5.266,22.0548,0
5.267,22.0505,0
5.268,22.0462,0
5.269,22.0419,0
5.270,22.0377,0
5.271,22.0334,0
