类别,x,y,z,序
导弹M1弹道,20000.0,0.0,2000.0,0
导弹M1弹道,19403.0,0.0,1940.3,1
导弹M1弹道,18806.0,0.0,1880.6,2
导弹M1弹道,18208.9,0.0,1820.9,3
导弹M1弹道,17611.9,0.0,1761.2,4
导弹M1弹道,17014.9,0.0,1701.5,5
导弹M1弹道,16417.9,0.0,1641.8,6
导弹M1弹道,15820.8,0.0,1582.1,7
导弹M1弹道,15223.8,0.0,1522.4,8
导弹M1弹道,14626.8,0.0,1462.7,9
导弹M1弹道,14029.8,0.0,1403.0,10
导弹M1弹道,13432.8,0.0,1343.3,11
导弹M1弹道,12835.7,0.0,1283.6,12
导弹M1弹道,12238.7,0.0,1223.9,13
导弹M1弹道,11641.7,0.0,1164.2,14
导弹M1弹道,11044.7,0.0,1104.5,15
导弹M1弹道,10447.6,0.0,1044.8,16
导弹M1弹道,9850.6,0.0,985.1,17
导弹M1弹道,9253.6,0.0,925.4,18
导弹M1弹道,8656.6,0.0,865.7,19
导弹M1弹道,8059.6,0.0,806.0,20
导弹M1弹道,7462.5,0.0,746.3,21
导弹M1弹道,6865.5,0.0,686.6,22
导弹M1弹道,6268.5,0.0,626.8,23
导弹M1弹道,5671.5,0.0,567.1,24
导弹M1弹道,5074.4,0.0,507.4,25
导弹M1弹道,4477.4,0.0,447.7,26
导弹M1弹道,3880.4,0.0,388.0,27
导弹M1弹道,3283.4,0.0,328.3,28
导弹M1弹道,2686.4,0.0,268.6,29
导弹M1弹道,2089.3,0.0,208.9,30
导弹M1弹道,1492.3,0.0,149.2,31
导弹M1弹道,895.3,0.0,89.5,32
FY1航线,17800.0,0.0,1800.0,33
FY1航线,17740.0,0.0,1800.0,34
FY1航线,17680.0,0.0,1800.0,35
FY1航线,17620.0,0.0,1800.0,36
FY1航线,17560.0,0.0,1800.0,37
FY1航线,17500.0,0.0,1800.0,38
FY1航线,17440.0,0.0,1800.0,39
FY1航线,17380.0,0.0,1800.0,40
FY1航线,17320.0,0.0,1800.0,41
FY1航线,17260.0,0.0,1800.0,42
FY1航线,17200.0,0.0,1800.0,43
FY1航线,17140.0,0.0,1800.0,44
投放点,17620.0,0.0,1800.0,45
起爆点,17188.0,0.0,1736.5,46
云团@起爆,17188.0,0.0,1736.5,47
云团@+10s,17188.0,0.0,1706.5,48
云团@+20s,17188.0,0.0,1676.5,49
真目标下底,0.0,200.0,0.0,50
真目标上底,0.0,200.0,10.0,51
假目标,0.0,0.0,0.0,52
